,code,year,f_roa,f_cfo,f_droa,f_accrual,f_dlever,f_dliquid,f_equityoffer,f_dmargin,f_dturnover,f_total
2194,003720,2016,0,1,1,1,1,1,1,1,0,7
2199,015260,2016,1,1,0,1,0,1,0,0,0,4
2204,005450,2016,0,1,0,1,0,1,1,0,0,4
2209,023960,2016,0,1,0,1,0,1,1,0,0,4
2214,006200,2016,0,1,1,1,1,1,1,1,0,7
2219,015020,2016,0,1,0,1,0,1,1,0,0,4
2224,011300,2016,0,1,0,1,0,1,1,0,1,5
2229,019180,2016,1,1,1,1,1,1,1,1,1,9
2234,003780,2016,1,1,0,1,1,1,1,0,0,6
2239,003680,2016,1,1,1,1,1,1,1,0,1,8
2244,011390,2016,1,1,1,1,1,1,1,0,1,8
2249,006110,2016,1,1,1,1,1,1,1,1,1,9
2254,009180,2016,1,1,1,1,0,1,1,1,1,8
2259,009140,2016,1,1,0,1,1,1,1,0,0,6
2264,004920,2016,0,1,0,1,0,1,0,0,0,3
2269,010420,2016,1,1,0,1,1,1,1,0,0,6
2274,000950,2016,0,1,0,1,0,1,1,0,0,4
2279,005030,2016,0,1,0,1,0,1,1,0,0,4
2284,051630,2016,1,1,0,1,0,1,1,0,0,5
2289,172580,2016,1,1,1,1,0,1,1,0,1,7
2294,001420,2016,1,1,1,1,1,1,1,1,1,9
2299,204210,2016,1,1,1,1,1,1,0,0,1,7
2304,001770,2016,1,1,0,1,0,1,1,0,1,6
2309,002870,2016,1,1,1,1,1,1,1,1,1,9
2314,140890,2016,1,1,1,1,1,1,1,0,1,8
2319,012600,2016,0,1,0,1,0,1,0,0,1,4
2324,025890,2016,0,1,0,1,1,1,1,0,0,5
2329,008500,2016,1,1,1,1,1,1,1,1,1,9
2334,153360,2016,1,1,0,1,1,1,1,0,1,7
2339,019490,2016,0,1,0,1,1,1,1,0,0,5
2344,033250,2016,0,1,0,1,0,1,1,0,1,5
2349,010640,2016,0,1,0,1,0,1,1,0,1,5
2354,001140,2016,1,1,1,1,1,1,1,1,1,9
